#-------------------------------------------
# Food Diary Report - Detailed Report,"Monday, March 1, 2021","Wednesday, March 31, 2021"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,1447,67.02,142.04,71.06
Breakfast,319,15.06,30.14,15.57
Lunch,297,12.43,31.59,13.45
Dinner,337,16.64,30.52,18.94
Snacks/Other,494,22.9,49.79,23.09

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fiber( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)
   29 g
  Макароны из Цельной Пшеницы,58,0.25,0.046,12.4,1.3,0.38,2.49,110,0,21
   47 g
  Рататуй,43,3.38,0.469,3.35,0.9,1.46,0.47,121,0,110
   60 g
  Valio Lapimaa Juust,33,2.47,1.69,0.32,,0.32,2.47,41.6,,
   13 g
  Lindt Chili Dark Chocolate,54,3.3,2,5,,4.8,0.61,10,,
   10 g
 Lunch,703,32.65,1.7,73.4,,,28.84,,,
  Пхали Хинкали Хинкали с Бараниной и Говядиной,77,1.27,,12.66,,,3.62,,,
   47 g
  Хачапури и Вино Хинкали с Сыром,575,28.58,,55.24,,,24.76,,,
   200 g
  Lindt Тёмный Шоколад с Карамелью и Морской Солью,51,2.8,1.7,5.5,,,0.46,,,
   10 g
 Dinner,1069,46.58,16.168,116.35,5.7,6.48,44.4,2441,69,
  Пицца с Ветчиной и Грибами,1069,46.58,16.168,116.35,5.7,6.48,44.4,2441,69,
   450 g
 Snacks/Other,,,,,,,,,,

"Thursday, March 4, 2021",1828,90.81,24.335,179.03,7.04,53.56,69.57,2187,111,395
 Breakfast,334,13.46,5.18,41.25,1.94,13.15,11.09,586,16,
  Пицца с Ветчиной и Грибами,257,11.18,3.88,27.92,1.4,1.55,10.66,586,16,
   108 g
  Nestle After Eight,77,2.28,1.3,13.33,0.54,11.6,0.43,,,
   18 g
 Lunch,344,14,5.332,42.03,1.9,12.36,11.75,624,18,
  Пицца с Ветчиной и Грибами,273,11.9,4.132,29.73,1.4,1.66,11.35,624,18,
   115 g
  Nestle After Eight,71,2.1,1.2,12.3,0.5,10.7,0.4,,,
"   2 шт, 16.6 g"
 Dinner,333,22.32,5.002,18.95,1.5,14.96,13.26,205,21,123
  Рататуй,48,3.77,0.524,3.74,1,1.63,0.53,135,0,123
   67 g
  Valio Lapimaa Juust,26,1.9,1.3,0.25,,0.25,1.9,32,,
   10 g
"  Härmavili Porgand, Lillkapsas, Brokoli",27,0.49,0.14,2.66,,2.38,1.89,14,,
   70 g
  Растительное Масло,120,13.6,1.716,0,0,0,0,0,0,
   1 tbsp
  Куриное Филе,41,0.46,0.122,0,0,0,8.54,24,21,
   37 g
  Nestle After Eight,71,2.1,1.2,12.3,0.5,10.7,0.4,,,
"   2 шт, 16.6 g"
 Snacks/Other,817,41.03,8.821,76.8,1.7,13.09,33.47,772,56,272
  Leibur Rukkileib Täisterajuuretisega,124,0.6,,25.14,,,2.86,,,
   55 g
  Козий Сыр (Твердый),86,6.76,4.676,0.41,0,0.41,5.8,66,20,9
   19 g
  Куриное Мясо и Кожа (Обжиг),108,7.92,2.265,0,0,0,8.57,34,36,98
   50 g
  Рататуй,58,4.56,0.633,4.52,1.2,1.98,0.64,163,0,149
   81 g
  Куриный Бульон,8,0.19,0.047,0.97,,,0.61,509,0,16
   156 g
  Nestle After Eight,71,2.1,1.2,12.3,0.5,10.7,0.4,,,
"   2 шт, 16.6 g"
  Pergale Набор Конфет,61,3.24,,7.32,,,0.61,,,
   12 g
  Престиж Лаваш с Говядиной,301,15.66,,26.14,,,13.98,,,
   152 g

"Friday, March 5, 2021",1762,83.43,29.709,170.88,7.9,47.52,80.62,2169.09,239,438
 Breakfast,308,15.73,2.06,33.56,2.1,13.38,9.35,221,0,202
  Рататуй,79,6.19,0.86,6.14,1.6,2.68,0.87,221,0,202
   110 g
  Семейные Традиции Рап с Говядиной ,158,7.44,,15.12,,,8.08,,,
   80 g
  Nestle After Eight,71,2.1,1.2,12.3,0.5,10.7,0.4,,,
"   2 шт, 16.6 g"
 Lunch,373,18.85,8.568,30.56,1.15,10.45,19.61,545.09,68,57
  Хачапури,167,6.33,2.738,19.75,0.7,0.92,7.11,263,22,
   56 g
  Сыр Сулугуни,59,4.63,2.711,0.05,0,0.05,4.27,48,16,
   21 g
  Шашлык из Свинины,94,6.67,2.391,0.4,0.2,0.03,7.78,67,30,
   29 g
  Nestle After Eight,38,1.16,0.72,6.6,0.25,6.03,0.19,0.09,0,
   9 g
  Кетчуп,15,0.06,0.008,3.76,0,3.42,0.26,167,0,57
   15 g
 Dinner,375,18.67,8.196,31.21,1.15,9.82,19.78,555,69,57
  Хачапури,175,6.67,2.885,20.81,0.7,0.97,7.49,277,24,
   59 g
  Шашлык из Свинины,104,7.36,2.638,0.45,0.2,0.04,8.58,74,33,
   32 g
  Сыр Сулугуни,45,3.53,2.065,0.04,0,0.04,3.25,37,12,
   16 g
  Кетчуп,15,0.06,0.008,3.76,0,3.42,0.26,167,0,57
   15 g
  Nestle After Eight,36,1.05,0.6,6.15,0.25,5.35,0.2,,,
"   1/2 x 2 шт, 8.3 g"
 Snacks/Other,706,30.18,10.885,75.55,3.5,13.87,31.88,848,102,122
  Хачапури,187,7.12,3.081,22.22,0.8,1.04,8,296,25,
   63 g
  Шашлык из Свинины,121,8.51,3.051,0.51,0.3,0.04,9.93,86,38,
   37 g
  Зеленый Листовой Салат,5,0.05,0.007,0.98,0.5,0.27,0.48,10,0,68
   35 g
  Финик,23,0.03,0.003,6.23,0.7,5.26,0.2,0,0,54
   1 date
  Хачапури,288,10.97,4.743,34.22,1.2,1.6,12.32,456,39,
   97 g
  Kupiec Rice Cakes With Belgian Milk Chocolate,82,3.5,,11.39,,5.66,0.95,,,
   17 g

"Saturday, March 6, 2021",1698,70.45,23.592,168.01,3.9,30.35,94.58,961.18,239,112
 Breakfast,565,27.15,11.009,48.3,2.05,8,29.94,674.09,105,
  Хачапури,345,13.11,5.672,40.92,1.4,1.91,14.73,545,47,
   116 g
  Шашлык из Свинины,182,12.88,4.617,0.78,0.4,0.06,15.02,129,58,
   56 g
  Nestle After Eight,38,1.16,0.72,6.6,0.25,6.03,0.19,0.09,0,
   9 g
 Lunch,273,6.34,3.282,27.95,0.7,4.87,25.43,82,62,63
  Куриное Филе Вареное,97,2.03,0.571,0,0,0,18.33,44,50,
   61 g
  Ананас,24,0.06,0.004,6.32,0.7,4.63,0.27,0,0,58
   50 g
  Козий Сыр (Твердый),50,3.91,2.707,0.24,0,0.24,3.36,38,12,5
   11 g
  Макфа Вареные Макароны из Твердых Сортов Пшеницы,102,0.34,,21.39,,,3.47,,,
   31 g
 Dinner,430,14.17,8.581,49.86,0.9,11.45,24.83,205,72,49
  Куриное Филе,67,0.76,0.201,0,0,0,14.08,40,35,
   61 g
  Ананас,5,0.01,0.001,1.26,0.1,0.93,0.05,0,0,12
   10 g
  Козий Сыр (Твердый),50,3.91,2.707,0.24,0,0.24,3.36,38,12,5
   11 g
  Макфа Вареные Макароны из Твердых Сортов Пшеницы,99,0.33,,20.7,,,3.36,,,
   30 g
  Салат с Зеленью и Овощным Ассорти,3,0.03,0.004,0.63,0.2,0.36,0.15,4,0,32
   20 g
  Пирожное,206,9.13,5.668,27.03,0.6,9.92,3.83,123,25,
   60 g
 Snacks/Other,430,22.79,0.72,41.9,0.25,6.03,14.38,0.09,0,
  Pizza Mia Пицца с Колбасой,392,21.63,,35.3,,,14.19,,,
   129 g
  Nestle After Eight,38,1.16,0.72,6.6,0.25,6.03,0.19,0.09,0,
   9 g

"Sunday, March 7, 2021",2013,86.66,22.484,197.91,6.25,32.33,80.96,2032.09,86,
 Breakfast,520,22.43,8.533,60.59,2.85,8.87,18,1012.09,32,
  Пицца Домашняя,482,21.27,7.813,53.99,2.6,2.84,17.81,1012,32,
   187 g
  Nestle After Eight,38,1.16,0.72,6.6,0.25,6.03,0.19,0.09,0,
   9 g
 Lunch,763,28.33,5.857,77.38,0.6,10.25,23.97,127,26,
  Casa Nostra Пицца Ассорти,431,18.9,,44.2,,,20.02,,,
   139 g
  Пирожное,212,9.43,5.857,27.93,0.6,10.25,3.95,127,26,
   62 g
  Фанагория Вино Красное Полусладкое,120,0,,5.25,,,0,,,
"   1 1/2 x 100мл, 150 ml"
 Dinner,304,17.13,1.2,12.3,0.5,10.7,23.27,,,
  Вкусарт Лосось,233,15.03,,0,,,22.87,,,
   112 g
  Nestle After Eight,71,2.1,1.2,12.3,0.5,10.7,0.4,,,
"   2 шт, 16.6 g"
 Snacks/Other,426,18.77,6.894,47.64,2.3,2.51,15.72,893,28,
  Пицца Домашняя,426,18.77,6.894,47.64,2.3,2.51,15.72,893,28,
   165 g

"Monday, March 8, 2021",1796,96.78,23.873,192.2,2.8,34.63,104.57,604.09,223,17
 Breakfast,586,26.42,12.076,59.61,1.35,15.85,26.11,284,96,
  Макфа Вареные Макароны из Твердых Сортов Пшеницы,116,0.38,,24.15,,,3.92,,,
   35 g
  Шашлык из Свинины,218,15.41,5.524,0.93,0.5,0.08,17.97,155,69,
   67 g
  Пирожное,216,9.58,5.952,28.38,0.6,10.42,4.02,129,27,
   63 g
  Nestle After Eight,36,1.05,0.6,6.15,0.25,5.35,0.2,,,
"   1/2 x 2 шт, 8.3 g"
 Lunch,374,18.53,0.72,27.83,0.25,6.03,7.39,0.09,0,
  Лента Пирожок Домашний с Мясом,256,17.37,,17.73,,,7.2,,,
   90 g
  Фанагория Вино Красное Полусладкое,80,0,,3.5,,,0,,,
"   100мл, 100 ml"
  Nestle After Eight,38,1.16,0.72,6.6,0.25,6.03,0.19,0.09,0,
   9 g
 Dinner,443,36.09,1.938,74.73,0.5,1.13,40.01,35,25,
  Тануки Ролл Филадельфия,325,31.07,,62.29,,,34.6,,,
   377 g
  Пирожок с Мясом,118,5.02,1.938,12.44,0.5,1.13,5.41,35,25,
   45 g
 Snacks/Other,393,15.74,9.139,30.03,0.7,11.62,31.06,285,102,17
  Куриное Филе на Гриле,127,2.59,0.725,0.17,0,0.05,23.94,121,65,
   82 g
  Козий Сыр (Твердый),45,3.56,2.461,0.22,0,0.22,3.05,35,10,5
   10 g
  Ананас,5,0.01,0.001,1.26,0.1,0.93,0.05,0,0,12
   10 g
  Пирожное,216,9.58,5.952,28.38,0.6,10.42,4.02,129,27,
   63 g

"Tuesday, March 9, 2021",1931,93.81,18.665,161.49,3.07,36.84,109.94,351.17,120,575
 Breakfast,473,22.24,7.374,45.72,0.8,12.9,22.8,165,33,116
  Твой Дом Пирожок Сдобный с Мясом,112,5.97,,10.58,,,4.09,,,
   47 g
  Soul In The Bowl Лосось,92,4.35,,0,,,13.46,,,
   68 g
  Кофе (из Молотых Зерен),2,0.05,0.005,0,0,0,0.28,5,0,116
   1 cup (8 fl oz)
  Пирожное,267,11.87,7.369,35.14,0.8,12.9,4.97,160,33,
   78 g
 Lunch,218,8.85,3.275,26.66,0.25,6.97,7.71,5.09,0,111
  ВкусВилл Пирожок с Мясом,178,7.64,2.55,19.97,,0.94,7.24,,,
"   2/3 x 100г, 67 g"
  Nestle After Eight,38,1.16,0.72,6.6,0.25,6.03,0.19,0.09,0,
   9 g
  Кофе,2,0.05,0.005,0.09,0,0,0.28,5,0,111
   1 mug (8 fl oz)
 Dinner,226,9.9,5.699,2.16,0,0.43,30.98,128,87,92
  Куриное Филе Вареное,128,2.69,0.759,0,0,0,24.34,59,66,
   81 g
  Кабачок,8,0.09,0.018,1.73,,,0.54,0,0,82
   45 g
  Козий Сыр (Твердый),90,7.12,4.922,0.43,0,0.43,6.1,69,21,10
   20 g
 Snacks/Other,1014,52.82,2.317,86.95,2.02,16.54,48.45,53.08,0,256
  Мираторг Бургер из Говядины,377,28.26,,7.85,,0,23.55,,,
   157 g
  Жареный Картофель,30,1.4,0.18,4.01,0.5,0.18,0.46,20,0,97
   20 g
  Nestle After Eight,71,2.1,1.2,12.3,0.5,10.7,0.4,,,
"   2 шт, 16.6 g"
  Жареный Картофель,49,2.31,0.297,6.62,0.8,0.3,0.77,33,0,159
   33 g
  Бургер Кинг Чизбургер,453,17.72,,50.31,,,23.1,,,
   177 g
  Nestle After Eight,34,1.03,0.64,5.86,0.22,5.36,0.17,0.08,0,
   8 g

"Wednesday, March 10, 2021",1527,61.44,27.536,150.79,19.54,66.83,95.35,2463.25,253,1212
 Breakfast,498,21.96,13.248,40.37,2.2,14.69,34.53,299,113,219
  Кабачок,9,0.1,0.021,1.96,,,0.61,1,0,93
   51 g
  Козий Сыр (Твердый),95,7.47,5.168,0.46,0,0.46,6.41,73,22,10
   21 g
  Куриное Филе Вареное,113,2.36,0.665,0,0,0,21.33,51,58,
   71 g
  Цветная Капуста (Замороженная),14,0.16,0.025,2.81,1.4,1.33,1.21,14,0,116
   60 g
  Пирожное,267,11.87,7.369,35.14,0.8,12.9,4.97,160,33,
   78 g
 Lunch,181,6.29,1.867,17.25,2.85,9.53,14.44,203.09,34,381
  Жареная или Запеченная Куриная Грудка,80,3.17,0.89,0,0,0,12.12,161,34,100
   41 g
  Ананас,9,0.02,0.002,2.27,0.3,1.67,0.1,0,0,21
   18 g
  Цветная Капуста (Замороженная),17,0.19,0.03,3.37,1.7,1.6,1.45,17,0,139
   72 g
  Жареный Картофель,37,1.75,0.225,5.01,0.6,0.23,0.58,25,0,121
   25 g
  Nestle After Eight,38,1.16,0.72,6.6,0.25,6.03,0.19,0.09,0,
   9 g
 Dinner,329,10.4,3.74,38.96,7.02,18.39,20.93,633.16,47,235
  Куриное Филе Вареное,73,1.53,0.431,0,0,0,13.82,33,37,
   46 g
  Козий Сыр (Твердый),45,3.56,2.461,0.22,0,0.22,3.05,35,10,5
   10 g
  Ананас,5,0.01,0.001,1.26,0.1,0.93,0.05,0,0,12
   10 g
  Оливковое Масло,9,1,0.138,0,0,0,0,0,0,0
   1 g
  Fazer Must Leib Madala Suhkrusisaldusega,57,0.39,0.05,11.8,1.92,1.09,1.77,0.16,,
   26 g
  Огурец (с Кожурой),11,0.08,0.025,2.69,0.4,1.24,0.48,1,0,109
   74 g
  Апельсиновый Шербет,50,0.7,0.406,10.64,1.2,8.51,0.38,16,0,34
   35 g
  Ягоды,16,0.15,0.008,3.99,1,2.44,0.34,0,0,75
   50 g
  Капуста Тушеная,63,2.98,0.22,8.36,2.4,3.96,1.04,548,0,
   91 g
 Snacks/Other,519,22.79,8.681,54.21,7.47,24.22,25.45,1328,59,377
  Макароны из Цельной Пшеницы,49,0.22,0.039,10.55,1.1,0.32,2.12,94,0,18
   40 g
  Жареный Картофель,73,3.43,0.441,9.83,1.2,0.44,1.14,49,0,237
   49 g
  Кабачок Гриль,11,0.65,0.091,1.57,0.7,0.44,0.28,92,0,
   25 g
  Козий Сыр (Твердый),90,7.12,4.922,0.43,0,0.43,6.1,69,21,10
   20 g
  Nestle After Eight,38,1.14,0.65,6.67,0.27,5.8,0.22,,,
   9 g
  Жареная или Запеченная Куриная Грудка,90,3.55,0.999,0,0,0,13.59,181,38,112
   46 g
  Капуста Тушеная,97,4.58,0.339,12.86,3.7,6.09,1.6,843,0,
   140 g
  Nestle After Eight,71,2.1,1.2,12.3,0.5,10.7,0.4,,,
"   2 шт, 16.6 g"

"Thursday, March 11, 2021",1502,40.63,19.211,225.98,7.96,34.6,52.22,1167.27,107,5
 Breakfast,619,22.46,10.841,77.13,1.6,14.65,24.78,620,74,5
  Макфа Вареные Макароны из Твердых Сортов Пшеницы,142,0.47,,29.67,,,4.82,,,
   43 g
  Кабачки Жареные,57,4.13,0.305,4.5,0.8,0.87,0.95,392,0,
   63 g
  Козий Сыр (Твердый),45,3.56,2.461,0.22,0,0.22,3.05,35,10,5
   10 g
  Куриное Филе Вареное,55,1.16,0.328,0,0,0,10.52,25,29,
   35 g
  Nestle After Eight Конфеты,39,0.67,,5.8,,,0.21,,,
   9 g
  Пирожное,281,12.47,7.747,36.94,0.8,13.56,5.23,168,35,
   82 g
 Lunch,424,8.11,3.428,71.24,3.1,1.03,14.83,302,18,
  Пицца Маргарита,424,8.11,3.428,71.24,3.1,1.03,14.83,302,18,
   154 g
 Dinner,459,10.06,4.942,77.61,3.26,18.92,12.61,245.27,15,
  Пицца Маргарита,344,6.58,2.782,57.82,2.5,0.83,12.04,245,15,
   125 g
  Nestle After Eight,115,3.48,2.16,19.79,0.76,18.09,0.57,0.27,0,
   27 g
 Snacks/Other,,,,,,,,,,

"Sunday, March 14, 2021",509,20.44,7.128,61.36,0.7,7.3,17.99,305,57,
 Breakfast,509,20.44,7.128,61.36,0.7,7.3,17.99,305,57,
  VICI Dumplings With Beef,344,16.5,6.27,34.2,,,13.2,,,
   150 g
  Оладьи,165,3.94,0.858,27.16,0.7,7.3,4.79,305,57,
   3 pancakes
 Lunch,,,,,,,,,,
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Monday, March 15, 2021",1517,74.75,25.279,129.97,10.4,23.83,78.83,2851,187,1315
 Breakfast,316,14.49,5.766,33.02,1.7,2.11,12.69,728,25,216
  Пицца с Мясом,316,14.49,5.766,33.02,1.7,2.11,12.69,728,25,216
   105 g
 Lunch,566,26.76,11.335,58.46,2.7,8.22,21.16,1188,41,350
  Пицца с Мясом,512,23.46,9.335,53.46,2.7,3.42,20.55,1178,41,350
   170 g
  Lindt Chili Dark Chocolate,54,3.3,2,5,,4.8,0.61,10,,
   10 g
 Dinner,302,16.27,5.563,19.43,3.2,4.65,19.61,358,57,321
"  Коричневый Рис (Длиннозерный, Приготовленный)",58,0.47,0.094,11.94,0.9,0.18,1.34,3,0,22
   52 g
  Рататуй,37,2.87,0.399,2.85,0.8,1.24,0.4,103,0,94
   51 g
  Болгарский Перец,20,0.23,0.045,4.64,1.5,3.23,0.76,2,0,
   77 g
  Говядина,187,12.7,5.025,0,0,0,17.11,250,57,205
   65 g
 Snacks/Other,333,17.23,2.615,19.06,2.8,8.85,25.37,577,64,428
  Рататуй,58,4.5,0.626,4.46,1.2,1.95,0.63,161,0,147
   80 g
  Жареная или Запеченная Куриная Грудка,72,2.86,0.804,0,0,0,10.93,145,31,90
   37 g
  Kupiec Rice Cakes With Belgian Milk Chocolate,63,2.68,,8.71,,4.33,0.73,,,
   13 g
  Рататуй,75,5.86,0.813,5.8,1.6,2.54,0.82,209,0,191
   104 g
  Куриное Филе на Гриле,65,1.33,0.372,0.09,0,0.03,12.26,62,33,
   42 g

"Tuesday, March 16, 2021",1312,72.62,23.812,112.77,3,13.02,53.81,881,97,375
 Breakfast,352,22.1,9.362,15.08,1.6,2.54,22.74,464,73,306
  Рататуй,58,4.5,0.626,4.46,1.2,1.95,0.63,161,0,147
   80 g
  Козий Сыр (Твердый),90,7.12,4.922,0.43,0,0.43,6.1,69,21,10
   20 g
  Дикий Рис (Вареный),22,0.07,0.011,4.69,0.4,0.16,0.88,1,0,22
   22 g
  Куриная Ножка,131,7.61,2.103,0,0,0,14.67,233,52,127
   57 g
  Lindt Тёмный Шоколад с Карамелью и Морской Солью,51,2.8,1.7,5.5,,,0.46,,,
   10 g
 Lunch,390,27.14,5.55,25.78,1.4,5.68,11.24,407,24,69
  Гречка Отварная,54,1.88,0.36,8.57,1.2,0.39,1.45,78,0,38
   45 g
  Говядина Отварная,82,5.27,1.771,0.31,0,0.05,8.24,325,24,
   32 g
  Зеленый Листовой Салат,2,0.02,0.003,0.45,0.2,0.12,0.22,4,0,31
   16 g
  Lindt Тёмный Шоколад с Карамелью и Морской Солью,51,2.8,1.7,5.5,,,0.46,,,
   10 g
  Kupiec Rice Cakes With Belgian Dark Chocolate,81,3.57,,10.95,,5.12,0.87,,,
   17 g
  Растительное Масло,120,13.6,1.716,0,0,0,0,0,0,
   1 tbsp
 Dinner,432,21.45,8.9,42.62,,4.8,15.13,10,,
  VICI Dumplings With Beef,378,18.15,6.9,37.62,,,14.52,,,
   165 g
  Lindt Chili Dark Chocolate,54,3.3,2,5,,4.8,0.61,10,,
   10 g
 Snacks/Other,138,1.93,,29.29,,,4.7,,,
  Lekorna Тарталетки Вафельные "Корзинка",130,1.69,,28.37,,,4.24,,,
   38 g
  Zero Сироп Шоколадный,8,0.24,,0.92,,,0.46,,,
   17 g

"Wednesday, March 17, 2021",156,6.54,2.267,15.92,1.1,1.47,7.73,137,15,109
 Breakfast,156,6.54,2.267,15.92,1.1,1.47,7.73,137,15,109
  Рататуй,42,3.32,0.461,3.29,0.9,1.44,0.47,119,0,109
   59 g
  Куриное Филе,29,0.32,0.086,0,0,0,6,17,15,
   26 g
  Рис Вареный,34,0.1,0.02,7.13,0.2,0.03,0.8,1,0,
   29 g
  Lindt Тёмный Шоколад с Карамелью и Морской Солью,51,2.8,1.7,5.5,,,0.46,,,
   10 g
 Lunch,,,,,,,,,,
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Thursday, March 18, 2021",849,47.48,14.306,57.01,4.3,7.47,48.18,690.01,116,297
 Breakfast,232,11.09,4.758,17.18,1.2,4.81,15.36,144.01,33,154
  Гречка Отварная,54,1.88,0.36,8.57,1.2,0.39,1.45,78,0,38
   45 g
  Куриное Филе,44,0.5,0.132,0,0,0,9.24,26,23,
   40 g
  Lindt Горький Шоколад с Апельсином,53,3.1,1.8,5.1,0,4.2,0.62,0.01,0,
   10 g
  Кофе,2,0.05,0.005,0.09,0,0,0.28,5,0,111
   1 mug (8 fl oz)
  Семейные Секреты Рататуй по-Домашнему,34,2,,3.2,,,0.72,,,
   40 g
  Козий Сыр (Твердый),45,3.56,2.461,0.22,0,0.22,3.05,35,10,5
   10 g
 Lunch,123,0.88,0.214,14.27,0.6,0.47,13.24,39,28,111
  Рис Вареный,63,0.19,0.038,13.27,0.5,0.06,1.48,1,0,
   54 g
  Куриное Филе,54,0.61,0.162,0,0,0,11.31,32,28,
   49 g
  Огурец,4,0.03,0.009,0.91,0.1,0.41,0.17,1,0,
   25 g
  Кофе,2,0.05,0.005,0.09,0,0,0.28,5,0,111
   1 mug (8 fl oz)
 Dinner,205,18.49,3.383,5.25,1.9,1.64,6.5,60,15,
  Говядина Тушеная,59,4.54,1.613,0.57,0.1,0.12,3.76,41,15,
   25 g
  Брокколи на Пару,26,0.35,0.054,4.68,1.8,1.52,2.74,19,0,
   103 g
  Растительное Масло,120,13.6,1.716,0,0,0,0,0,0,
   1 tbsp
 Snacks/Other,289,17.02,5.951,20.31,0.6,0.55,13.08,447,40,32
  Говядина Тушеная,118,9.08,3.225,1.15,0.3,0.25,7.52,82,30,
   50 g
  Семейные Секреты Рататуй по-Домашнему,50,3,,4.8,,,1.08,,,
   60 g
  Белый и Дикий Рис,73,1.38,0.265,13.42,0.3,0.08,1.41,330,0,27
   65 g
  Козий Сыр (Твердый),45,3.56,2.461,0.22,0,0.22,3.05,35,10,5
